task,seed,method,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
Large,20275005,MBLinear,8,5.092028476685752,4.59922280435108,2.596773548484033,0.05091362499979368
Large,20275005,MBQuadratic,8,5.127005731034323,4.421889779972812,2.505127615697544,0.12800829100024202
Large,20275006,BE,8,0.009834942316395546,0.5515189247809638,0.4533931202418611,0.011448457999904349
Large,20275006,Gen2,8,0.12742455624182814,0.43444645022902656,0.3136402094890149,0.025160832999972627
Large,20275006,MBLinear,8,4.933323003026708,7.696038937047681,4.801813543971189,0.045032542000171816
Large,20275006,MBQuadratic,8,5.047046343221118,7.562167554162857,4.77808538728025,0.138731375000134
Large,20275007,BE,8,0.012260178778700587,0.7059669445560802,0.46944393198551926,0.006862249999812775
Large,20275007,Gen2,8,0.16382325412132148,0.3864497108419558,0.2592349019520679,0.02287662500020815
Large,20275007,MBLinear,4,4.926018021782819,5.060104380187968,3.5075290082458292,0.031239792000178568
Large,20275007,MBQuadratic,8,4.906013433185638,5.054439841282319,3.20334353544348,0.13255724999999074
