episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain,be_bandwidth,gen2_bandwidth
320,0.35,9,0.06631106446232811,0.05478516999943538,0.17381555486024036,24,24
320,0.35,10,0.07180888750693923,0.04702599372199879,0.3451229317895442,16,24
320,0.35,11,0.05634800113570018,0.045447915946642416,0.19344226892463523,24,24
320,0.35,12,0.06509956017898642,0.0504784797520444,0.22459568677180686,24,24
320,0.35,13,0.062340120103788484,0.04899422724118081,0.21408192413470542,24,24
320,0.35,14,0.06394254972275457,0.0503548215865375,0.21249900410808523,24,24
320,0.35,15,0.06558873811361124,0.05258360709982389,0.19828298863228888,24,24
320,0.35,16,0.04951274938445943,0.04172050155214245,0.15737861316913124,24,24
320,0.35,17,0.06202409924092282,0.049414695791681194,0.20329845340054664,24,24
320,0.35,18,0.060878143776432664,0.048662996560658145,0.20064914036526987,24,24
320,0.35,19,0.05099906467945134,0.04077799165009917,0.20041687222296195,24,24
320,0.7,0,0.06073182611686188,0.0466199469095186,0.23236382156842778,24,24
320,0.7,1,0.06564516433287962,0.05484152213284725,0.1645763600384676,24,24
320,0.7,2,0.059464015422410935,0.047916955808187,0.19418566896631154,24,24
320,0.7,3,0.07651058082401327,0.0657612236534958,0.14049504074792904,24,24
320,0.7,4,0.05611281831384617,0.042203565921293956,0.24788012455114958,24,24
320,0.7,5,0.05792609332183574,0.043514035277396175,0.2488007945636274,24,24
320,0.7,6,0.058850973621389996,0.044228771807868335,0.2484615107235383,24,24
320,0.7,7,0.08412558786596318,0.07921878320085814,0.05832713671995999,24,24
320,0.7,8,0.08447512521239652,0.07403071439633989,0.12363889120964493,16,16
320,0.7,9,0.06020683964054143,0.048024750316897284,0.20233729915697324,24,24
320,0.7,10,0.07670313709344742,0.06502974772607907,0.1521892038541613,24,24
320,0.7,11,0.0669749994263892,0.04974798167972286,0.25721564605013825,24,24
320,0.7,12,0.05990953248902406,0.047392993224925704,0.20892400164183375,24,24
320,0.7,13,0.05893215338083785,0.045377223771469175,0.23000906689719133,24,24
320,0.7,14,0.0704847715494143,0.06094878815794523,0.1352913995725124,24,24
320,0.7,15,0.06843877284182183,0.058708543476674334,0.1421742231941586,24,24
320,0.7,16,0.06585331986810591,0.05598463571873982,0.14985856702640885,24,24
320,0.7,17,0.07018770528246174,0.05935152548365414,0.15438857496763475,24,24
320,0.7,18,0.060110913211917145,0.045793807262872514,0.2381781474284145,24,24
320,0.7,19,0.059030507811840785,0.04653837444426009,0.2116216483754343,24,24
320,1.0,0,0.06756145824561728,0.050128919480683154,0.25802490380771165,24,24
320,1.0,1,0.06989909635852043,0.05803815995941736,0.16968654842498934,24,24
320,1.0,2,0.05888821381384679,0.045639735005335295,0.22497674747601681,24,24
320,1.0,3,0.05872802861422564,0.04819822441515951,0.17929776373449566,24,24
320,1.0,4,0.06264327592573952,0.05130450449519952,0.18100540342081647,24,24
320,1.0,5,0.06289671387763661,0.053381092823659305,0.1512896376826557,24,24
320,1.0,6,0.05509709595601098,0.045048855041898817,0.1823733309308096,24,24
320,1.0,7,0.06977155724217031,0.05708497645600552,0.1818302656214322,24,24
320,1.0,8,0.06259664570087195,0.05711392491215105,0.08758809241825757,24,24
320,1.0,9,0.06580975332531647,0.05427741063107488,0.17523759186930718,24,24
320,1.0,10,0.06381839117365573,0.04892807081646915,0.23332334274407893,24,24
320,1.0,11,0.0655574178168856,0.05864699107026596,0.10541029492530922,24,24
320,1.0,12,0.05804816841022722,0.04621671785287928,0.20382125537079676,24,24
320,1.0,13,0.05655901533185998,0.04171041698791674,0.26253282976761705,24,24
320,1.0,14,0.060001187502343206,0.04709942570613939,0.2150251075564124,24,24
320,1.0,15,0.06459468496224703,0.05143596931790311,0.20371204925040898,24,24
320,1.0,16,0.060962844252190215,0.04902272368775545,0.19585898116959652,24,24
320,1.0,17,0.061145440406460846,0.046144932204080745,0.24532504963027618,24,24
320,1.0,18,0.056048272875728125,0.04412102936638588,0.21280305167989172,24,24
320,1.0,19,0.09226884583182163,0.06439256261206551,0.3021202115236838,16,24
320,1.5,0,0.053093272497375055,0.04552669945637414,0.14251472333665272,24,24
320,1.5,1,0.08272646929804793,0.07456555442267052,0.09864937963174968,24,24
320,1.5,2,0.06276795514451083,0.049046183390820605,0.21861110055439206,24,24
320,1.5,3,0.07767496783651306,0.06783685084908557,0.12665749676439314,8,8
320,1.5,4,0.06039897437621068,0.04673401858595505,0.22624483166121181,24,24
320,1.5,5,0.06964466111887553,0.06227618592386499,0.10580100580047896,24,24
320,1.5,6,0.06088700443058147,0.046800918360994405,0.23134798962965736,24,24
320,1.5,7,0.06997982262178727,0.06047647239363955,0.13580129060214258,6,6
320,1.5,8,0.05690635691860731,0.05022283883101765,0.1174476534695244,24,16
320,1.5,9,0.06063443607444866,0.049306216460259636,0.1868281515850155,24,24
320,1.5,10,0.060469564781797915,0.05110553629817099,0.15485523200665757,24,24
320,1.5,11,0.05449499545568796,0.03934421610801986,0.2780214810732079,24,24
320,1.5,12,0.05609356101026851,0.0440852734485096,0.2140760426951797,24,24
320,1.5,13,0.07050896986677832,0.06102652634358916,0.13448563411301515,24,24
320,1.5,14,0.05857547314367978,0.049298961968381884,0.15836852316230618,24,24
320,1.5,15,0.07874576082188453,0.0672604711592939,0.145852799474111,24,24
320,1.5,16,0.05569897748795378,0.04469070052793799,0.19763876208313855,24,24
320,1.5,17,0.06835415131180361,0.060976312638252886,0.10793548792517446,24,24
320,1.5,18,0.06222929123073814,0.05173198335836119,0.16868756922611083,24,24
320,1.5,19,0.0573100990935533,0.048753750540327274,0.1492991407894549,24,24
320,2.0,0,0.06244643324620206,0.0550104996968301,0.11907699387817655,24,24
320,2.0,1,0.07535354801040234,0.07112176787645343,0.05615900306863755,24,24
320,2.0,2,0.05422595444069827,0.04376546827558007,0.19290552417215326,24,24
320,2.0,3,0.06320581032526264,0.05744105453808745,0.09120610522211883,24,24
320,2.0,4,0.05562869245967031,0.04733934488845727,0.1490120871926416,24,24
