task,task_label,seed,mismatch_type,mismatch_level,mismatch_metric,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum_rich,Small,4,gain,0.05,0.21422132023797677,Gen2,2,8,0.03411360027662218,0.13721965225324464,0.08339874104942854,0.004832874998101033
small_pendulum_rich,Small,4,gain,0.05,0.21422132023797677,CTTDProxy,-1,8,0.0340306988853449,0.13391258495652927,0.06842441702284269,0.0021796250075567514
small_pendulum_rich,Small,5,gain,0.05,0.21224763322613496,BE,-1,8,0.001484550458845005,0.09708895040925081,0.07720855566042147,0.0036549579963320866
small_pendulum_rich,Small,5,gain,0.05,0.21224763322613496,Gen2,2,8,0.02589773091831107,0.08904190152765601,0.07008886932682143,0.004509082995355129
small_pendulum_rich,Small,5,gain,0.05,0.21224763322613496,CTTDProxy,-1,8,0.026243775028387872,0.0721676488199438,0.055106022611496316,0.0022781250008847564
small_pendulum_rich,Small,6,gain,0.05,0.21495066948691827,BE,-1,8,0.0012547375856670196,0.09415376720407552,0.0755799056792605,0.0021861669956706464
small_pendulum_rich,Small,6,gain,0.05,0.21495066948691827,Gen2,2,8,0.021752284560159107,0.0900052242109734,0.06861118006767601,0.005386417004046962
small_pendulum_rich,Small,6,gain,0.05,0.21495066948691827,CTTDProxy,-1,8,0.020060454617977407,0.06475125196696704,0.043286364062788636,0.002385415995377116
small_pendulum_rich,Small,7,gain,0.05,0.215474672559619,BE,-1,8,0.0013208640230798238,0.09402241295628734,0.07518676168815747,0.002632250005262904
small_pendulum_rich,Small,7,gain,0.05,0.215474672559619,Gen2,2,8,0.023023924865282566,0.08874873843987037,0.06686820015462187,0.0048603329923935235
small_pendulum_rich,Small,7,gain,0.05,0.215474672559619,CTTDProxy,-1,8,0.02120593980115801,0.07306564552637931,0.053883740423544414,0.004541375004919246
small_pendulum_rich,Small,8,gain,0.05,0.21407515323431817,BE,-1,8,0.0015531543585024525,0.14601454723884824,0.08627842531646121,0.0033430000039516017
small_pendulum_rich,Small,8,gain,0.05,0.21407515323431817,Gen2,2,8,0.028626510975276624,0.1445300244237941,0.08003145853383159,0.0063950839976314455
small_pendulum_rich,Small,8,gain,0.05,0.21407515323431817,CTTDProxy,-1,8,0.02663742305005037,0.08697366202300469,0.060404924075749586,0.0024551249953219667
small_pendulum_rich,Small,9,gain,0.05,0.21512271093734997,BE,-1,8,0.0017793324207335554,0.1013088140554848,0.07040923676319744,0.0023695419949945062
small_pendulum_rich,Small,9,gain,0.05,0.21512271093734997,Gen2,2,8,0.029467422925092083,0.09246561659728063,0.059696255237898,0.004948041998432018
small_pendulum_rich,Small,9,gain,0.05,0.21512271093734997,CTTDProxy,-1,8,0.029513028147014158,0.07196158573672015,0.0494708004422316,0.00222754200513009
small_pendulum_rich,Small,10,gain,0.05,0.2134754171786213,BE,-1,8,0.0009882771350109188,0.1173458820901145,0.07931207123663625,0.0023322079941863194
small_pendulum_rich,Small,10,gain,0.05,0.2134754171786213,Gen2,2,8,0.0179078981737819,0.11312031826658692,0.07155371127468496,0.006217582995304838
small_pendulum_rich,Small,10,gain,0.05,0.2134754171786213,CTTDProxy,-1,8,0.01759880386941006,0.059229368089874404,0.041080625743278816,0.003296666996902786
small_pendulum_rich,Small,11,gain,0.05,0.21262532695245057,BE,-1,8,0.0020270037192593932,0.14473085416588768,0.09373029339086898,0.002154082991182804
small_pendulum_rich,Small,11,gain,0.05,0.21262532695245057,Gen2,2,8,0.03365544385381527,0.15967478917361866,0.09180121175166733,0.004400666992296465
small_pendulum_rich,Small,11,gain,0.05,0.21262532695245057,CTTDProxy,-1,8,0.032797229989624165,0.07896128189108707,0.05330747473300437,0.0023999169934540987
small_pendulum_rich,Small,12,gain,0.05,0.214901294659578,BE,-1,8,0.0011755546682925464,0.14462138615693018,0.09417900545705184,0.0034617920027812943
small_pendulum_rich,Small,12,gain,0.05,0.214901294659578,Gen2,2,6,0.02054256212942403,0.14747281328487458,0.08660136683155649,0.004501959003391676
small_pendulum_rich,Small,12,gain,0.05,0.214901294659578,CTTDProxy,-1,8,0.020465615911588485,0.09036040297745805,0.058553706828531726,0.002211209008237347
