task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,family,dt,horizon_steps
small_pendulum_rich,Small,20262091,Gen3,3,8,0.05062814550815152,0.12037055525504482,0.07708075139338606,0.0030384589999812306,0.0,Small,0.08,42
small_pendulum_rich,Small,20262040,BE,-1,6,0.0008490689776391632,0.12810485432060434,0.09247100725370211,0.00265204100014671,0.0,Small,0.04,84
small_pendulum_rich,Small,20262040,Gen1,1,6,0.018628537439672032,0.15749887476663363,0.10063956647515329,0.006955707999622973,0.0,Small,0.04,84
small_pendulum_rich,Small,20262040,Gen2,2,6,0.021233786273812835,0.11666614396471793,0.07844829957572175,0.005510667000180547,0.0,Small,0.04,84
small_pendulum_rich,Small,20262040,Gen3,3,6,0.021984826286105583,0.12411770599888781,0.08182250179391429,0.005926750000071479,0.0,Small,0.04,84
small_pendulum_rich,Small,20262041,BE,-1,8,0.0010028724485190313,0.1313786310371298,0.09594448018745329,0.003492124999866064,0.0,Small,0.04,84
small_pendulum_rich,Small,20262041,Gen1,1,8,0.023156724691154488,0.1741655713264507,0.10371958883246334,0.0062358749996747065,0.0,Small,0.04,84
small_pendulum_rich,Small,20262041,Gen2,2,8,0.026504758199099004,0.12231409872165677,0.08127956156600766,0.00651437500027896,0.0,Small,0.04,84
small_pendulum_rich,Small,20262041,Gen3,3,8,0.02845831058694436,0.12043409312141824,0.08215044629219805,0.009141207999618928,0.0,Small,0.04,84
small_pendulum_rich,Small,20262042,BE,-1,8,0.0011568658173839225,0.16774948565707978,0.09920471105201607,0.004063792000124522,0.0,Small,0.04,84
small_pendulum_rich,Small,20262042,Gen1,1,8,0.027745730188344548,0.19776643695350726,0.09909357597889486,0.0064343340000050375,0.0,Small,0.04,84
small_pendulum_rich,Small,20262042,Gen2,2,8,0.029957456713641476,0.16441670785942508,0.08874859590594784,0.00831433300027129,0.0,Small,0.04,84
small_pendulum_rich,Small,20262042,Gen3,3,8,0.03012379735904361,0.163389312660044,0.09135096399070845,0.007937875000152417,0.0,Small,0.04,84
small_pendulum_rich,Small,20262043,BE,-1,8,0.0010565975577863564,0.13672456504816646,0.09177451471669758,0.003966666999986046,0.0,Small,0.04,84
small_pendulum_rich,Small,20262043,Gen1,1,8,0.023324941092684286,0.1521538516365046,0.08239464868111433,0.0060966669998379075,0.0,Small,0.04,84
small_pendulum_rich,Small,20262043,Gen2,2,8,0.026897933093917675,0.12523290743580193,0.0771698100450492,0.0077527079997707915,0.0,Small,0.04,84
small_pendulum_rich,Small,20262043,Gen3,3,8,0.02808190744199835,0.13123257413604403,0.08283205153950259,0.006552541000019119,0.0,Small,0.04,84
small_pendulum_rich,Small,20262044,BE,-1,8,0.000665442032791312,0.1296253318962318,0.08709474841428311,0.0030179579998730333,0.0,Small,0.04,84
small_pendulum_rich,Small,20262044,Gen1,1,8,0.015016124101059231,0.10976128382835261,0.07084485411600773,0.007793000000219763,0.0,Small,0.04,84
