task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,feature_family,task_family
medium_cartpole_like_quadratic,Medium,20267162,BE,-1,8,0.0012960231535646624,0.18183684592738408,0.11450471675606261,0.001479083000049286,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267162,Gen2,2,8,0.018174941870774043,0.11192235498826997,0.06804876060979655,0.003129833000002691,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267179,BE,-1,8,0.0012674589515149991,0.16561331385024147,0.10410543589060353,0.0015272919999915757,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267179,Gen2,2,8,0.016754997707278573,0.08275761882411223,0.05434095697763627,0.00317295800005013,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267196,BE,-1,8,0.0012616980408066292,0.15428916987126837,0.11269871578693216,0.0016553329996895627,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267196,Gen2,2,8,0.019087695964923684,0.07868774784971298,0.056715872190857226,0.003178375000061351,0.0,quadratic,Medium
medium_cartpole_like_linear,Medium,20267006,BE,-1,8,0.00496956106866954,1.2914790140570822,0.8901349558076351,0.0013332090002222685,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267006,Gen2,2,8,0.08606831375816842,1.2893316686627694,0.8914293504604153,0.0029732499997408013,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267023,BE,-1,8,0.004688320185499828,1.3706836459781313,0.8370192107265425,0.0013915829999859852,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267023,Gen2,2,8,0.0806543762683835,1.3719327975142501,0.8382558269359671,0.0027829999999084976,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267040,BE,-1,8,0.002124253761518489,2.21941538022486,1.0983902721610697,0.001330582999798935,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267040,Gen2,2,8,0.0357012605052051,2.222102133350659,1.099323031341454,0.002769166999769368,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267057,BE,-1,8,0.005398796680248155,0.8004087318436658,0.4776920402484238,0.0014060829998925328,0.0,linear,Medium
