task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,behavior_gain_bias
small_pendulum_rich,Small,20265011,MBLinear,-1,2,0.11192160980154385,0.6781268924974388,0.3230073064173905,0.009205917000144836,0.1,0.1
small_pendulum_rich,Small,20264012,BE,-1,8,0.0010288553135632966,0.11105048329463046,0.07490281227801296,0.002147582999896258,0.1,0.1
small_pendulum_rich,Small,20264012,Gen2,2,8,0.01793708814151297,0.11409239003154023,0.07065685375970605,0.0044498750003185705,0.1,0.1
small_pendulum_rich,Small,20265012,MBLinear,-1,4,0.12594758737917805,0.8734405486658223,0.4098613775114684,0.01775670799997897,0.1,0.1
small_pendulum_rich,Small,20264013,BE,-1,8,0.0012497427798518613,0.13519561512508366,0.08450624882356246,0.0022090830002525763,0.1,0.1
small_pendulum_rich,Small,20264013,Gen2,2,8,0.020830370300900097,0.13978343548055547,0.08063800619564161,0.004167916999904264,0.1,0.1
small_pendulum_rich,Small,20265013,MBLinear,-1,2,0.10462538475375226,0.7189461808585684,0.3348395679253271,0.009318040999914956,0.1,0.1
small_pendulum_rich,Small,20264014,BE,-1,8,0.0012196197696364589,0.12470896212795507,0.08179487845379436,0.003327166999952169,0.1,0.1
small_pendulum_rich,Small,20264014,Gen2,2,8,0.021271703928309727,0.13853650769932968,0.08364294563299518,0.0044253749997551495,0.1,0.1
small_pendulum_rich,Small,20265014,MBLinear,-1,2,0.10629901263089911,0.751159468255538,0.3467209394604102,0.01023804199985534,0.1,0.1
small_pendulum_rich,Small,20264015,BE,-1,8,0.0012652745641321132,0.14772668716160123,0.09008601400566138,0.0019856249996337283,0.1,0.1
small_pendulum_rich,Small,20264015,Gen2,2,8,0.022836989048704886,0.15796503360099415,0.08884534919351267,0.004469667000194022,0.1,0.1
small_pendulum_rich,Small,20265015,MBLinear,-1,4,0.10813259517548425,0.6891978421562021,0.35401494715962867,0.012832750000143278,0.1,0.1
small_pendulum_rich,Small,20264016,BE,-1,8,0.0016705085047825127,0.14202576019226515,0.09855570459418338,0.002196375000039552,0.1,0.1
small_pendulum_rich,Small,20264016,Gen2,2,8,0.028005837177041516,0.14694557724789753,0.09651688995973885,0.004616707999957725,0.1,0.1
small_pendulum_rich,Small,20265016,MBLinear,-1,2,0.09946063906682581,0.8164540061432024,0.37236049476385047,0.009693417000107729,0.1,0.1
small_pendulum_rich,Small,20264017,BE,-1,8,0.000817594912880636,0.13943062552920535,0.0883840795336403,0.00266970799975752,0.1,0.1
small_pendulum_rich,Small,20264017,Gen2,2,8,0.015161308406141365,0.15028891706715025,0.08703853939201874,0.0040901669999584556,0.1,0.1
small_pendulum_rich,Small,20265017,MBLinear,-1,2,0.10479605340006633,0.7016037328041174,0.33790617767751935,0.009180999999898631,0.1,0.1
small_pendulum_rich,Small,20264018,BE,-1,8,0.002411963358700971,0.11863890350732983,0.08874277948763858,0.002333167000415415,0.1,0.1
small_pendulum_rich,Small,20264018,Gen2,2,8,0.04115943363490702,0.12920852330828966,0.0865601459266349,0.005799749999823689,0.1,0.1
small_pendulum_rich,Small,20265018,MBLinear,-1,0,0.1277404639305721,0.712788181575872,0.3352758053438132,0.003668916000151512,0.1,0.1
