method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,family,dt,horizon_steps
Gen2,2,24,0.02088174065770688,0.08935430135982386,0.046343019264973466,0.0036827919975621626,Small,0.08,42
Gen3,3,24,0.0220245763564601,0.05641711942943093,0.03900384101235195,0.003426916999160312,Small,0.08,42
BE,-1,24,0.0021938240523926337,0.0928534835687676,0.054575512403627374,0.007294459006516263,Small,0.08,42
Gen1,1,1,0.02323872020273038,0.3510143804738466,0.1747210780969117,0.0037307500024326146,Small,0.08,42
Gen2,2,24,0.03187299581619298,0.10013825688826963,0.054392985461810386,0.003802415987593122,Small,0.08,42
Gen3,3,24,0.032563284806219735,0.06759356824212698,0.042383163369772395,0.0037080840120324865,Small,0.08,42
BE,-1,24,0.0007933898256162698,0.0679786084312723,0.049557010010425714,0.0018353750056121498,Small,0.08,42
Gen1,1,24,0.00875051750742698,0.05028570650882629,0.037051983165928004,0.005332667002221569,Small,0.08,42
Gen2,2,24,0.010895974331013827,0.06571568379934598,0.041576315321948415,0.0036547920026350766,Small,0.08,42
Gen3,3,24,0.012289623260629216,0.06222636284369092,0.04236444799812911,0.0036322500091046095,Small,0.08,42
BE,-1,16,0.002069688568842838,0.07118853690186121,0.05670899949509763,0.001742250009556301,Small,0.08,42
Gen1,1,2,0.025824390169058825,0.19737186611592825,0.10363276585722918,0.003976000007241964,Small,0.08,42
Gen2,2,4,0.029118052477005472,0.09665034292673899,0.0633370082380728,0.0060817499906988814,Small,0.08,42
Gen3,3,6,0.030035422249745404,0.10065238445240453,0.0666607596117528,0.00379541699658148,Small,0.08,42
BE,-1,12,0.000819974975060102,0.07326470305029781,0.05973917832813282,0.0031220420059980825,Small,0.08,42
Gen1,1,24,0.0097922597209573,0.04248901441166735,0.03229726285235059,0.0034684999991441146,Small,0.08,42
Gen2,2,24,0.011334939354141581,0.04425714993773801,0.03692782020028915,0.003467083995928988,Small,0.08,42
Gen3,3,12,0.012011979096562217,0.06667472352476415,0.05231335663055172,0.0038657919940305874,Small,0.08,42
BE,-1,24,0.0023613393244807995,0.0694200375247031,0.0483374060966524,0.0017550420016050339,Small,0.08,42
Gen1,1,24,0.027709817761432373,0.0504545462214816,0.03502370476395743,0.003578499992727302,Small,0.08,42
Gen2,2,24,0.025488829216455375,0.05237897541955823,0.034789532205598876,0.0035627920005936176,Small,0.08,42
Gen3,3,24,0.02458182548586273,0.05391186582072143,0.03930260226027126,0.003537917000357993,Small,0.08,42
BE,-1,24,0.0011589920437590578,0.08356919303076969,0.05263582109506184,0.0019067079992964864,Small,0.08,42
Gen1,1,24,0.013916087606317185,0.06976186917753648,0.04237142927609789,0.003855999995721504,Small,0.08,42
Gen2,2,24,0.014596189232077075,0.0872428864368724,0.052478288802808186,0.0034837499988498166,Small,0.08,42
Gen3,3,24,0.01455033326586338,0.06917063248914168,0.04392344653672645,0.0034591250005178154,Small,0.08,42
BE,-1,24,0.0013099286536167726,0.07257924220944051,0.047569938377480504,0.0019358749996172264,Small,0.08,42
Gen1,1,24,0.0157391332475266,0.05372076030341101,0.03484410673243147,0.0036884580040350556,Small,0.08,42
Gen2,2,24,0.01619876166779188,0.06673648689376784,0.041364683524961976,0.0035014169989153743,Small,0.08,42
Gen3,3,24,0.016549551322032313,0.06093781482248414,0.04242013865781707,0.0038942920073168352,Small,0.08,42
BE,-1,24,0.0019247514413278442,0.06786866591296671,0.04518611387074897,0.001957749991561286,Small,0.08,42
Gen1,1,24,0.023837998489328396,0.043470615203340106,0.03124064994048311,0.006202916003530845,Small,0.08,42
Gen2,2,24,0.02435320329119778,0.04518021307943636,0.03230931704639179,0.0036955409887013957,Small,0.08,42
Gen3,3,24,0.024144170765724872,0.06594470818160313,0.04338322371397479,0.0035433330049272627,Small,0.08,42
BE,-1,12,0.0008153477890480898,0.07697404239489775,0.0652427897824047,0.0017735410074237734,Small,0.08,42
Gen1,1,24,0.009361265288508003,0.04912061919552115,0.03791143481220367,0.003609499995945953,Small,0.08,42
Gen2,2,24,0.0100667352963828,0.06113196595815257,0.04773360019213679,0.0036527079937513918,Small,0.08,42
Gen3,3,24,0.011192685510666333,0.0543359827077013,0.04111767836015197,0.004652666000765748,Small,0.08,42
BE,-1,24,0.0008444854915765992,0.0715684676823926,0.04733626460291984,0.0017785410018404946,Small,0.08,42
Gen1,1,24,0.009014138179258481,0.04924016726411192,0.03316962072575811,0.006345208996208385,Small,0.08,42
Gen2,2,24,0.010347948370339463,0.05538751539243615,0.03747125901506311,0.003751208001631312,Small,0.08,42
Gen3,3,24,0.011750350260505664,0.06845034389231106,0.04532924339107034,0.004126708998228423,Small,0.08,42
BE,-1,24,0.001285909534707247,0.07531195010556943,0.048239043865030765,0.0017777080065570772,Small,0.08,42
Gen1,1,24,0.015426149676049232,0.05270905065523806,0.033795431295614235,0.0034250409953529015,Small,0.08,42
Gen2,2,24,0.018687324048472353,0.046042385360952266,0.03385948482569272,0.004240249996655621,Small,0.08,42
Gen3,3,24,0.019780580855152642,0.07280686493077246,0.04423989427974132,0.003526707994751632,Small,0.08,42
BE,-1,16,0.0005548643463990931,0.07470284921696779,0.057339673568518906,0.0017749590042512864,Small,0.08,42
Gen1,1,24,0.005469652863944477,0.04413943200778869,0.03607642707642275,0.0035465840046526864,Small,0.08,42
Gen2,2,24,0.006495664314901964,0.04711510548184242,0.04193801867550485,0.006071707990486175,Small,0.08,42
Gen3,3,24,0.007395183461392103,0.06766277881473133,0.048150331944250786,0.004026665992569178,Small,0.08,42
BE,-1,24,0.0013061817466743964,0.06924273375658845,0.04636376323421721,0.0017977919924305752,Small,0.08,42
Gen1,1,24,0.014992487699698256,0.04942009593037327,0.03155659554865541,0.0036637500015785918,Small,0.08,42
Gen2,2,24,0.01636796767100408,0.04787201976175846,0.03481960180210986,0.003557916992576793,Small,0.08,42
Gen3,3,24,0.017291064017976622,0.06783158692858145,0.04314886560786936,0.003715084007126279,Small,0.08,42
BE,-1,24,0.0007554761045985394,0.07751256874256722,0.050724941480853755,0.0017831250006565824,Small,0.08,42
Gen1,1,24,0.007495344290203222,0.060414957062775734,0.03701373719152856,0.005357500005629845,Small,0.08,42
Gen2,2,24,0.008727802178672618,0.07576147790469763,0.04387964333286602,0.003946750002796762,Small,0.08,42
Gen3,3,24,0.010201463705857556,0.06763091816515893,0.04375300792122183,0.005095082990010269,Small,0.08,42
BE,-1,24,0.0011286046740513612,0.09879928434075048,0.06288064397203294,0.0025199999945471063,Small,0.06,56
Gen1,1,24,0.01662832206848641,0.06999467630066394,0.04202772690989309,0.005495874996995553,Small,0.06,56
Gen2,2,24,0.019614132819414605,0.0862907247867806,0.050030282485088395,0.004708791006123647,Small,0.06,56
Gen3,3,24,0.02096409638927988,0.08898864684380124,0.05356301638975284,0.005198500002734363,Small,0.06,56
BE,-1,24,0.000740977640130326,0.09577551401037228,0.06259449592003592,0.0023674170079175383,Small,0.06,56
Gen1,1,24,0.01147710049573414,0.07185072529263353,0.042120440017171204,0.005227250003372319,Small,0.06,56
Gen2,2,24,0.012300088021751239,0.08729271158709026,0.050039071535560496,0.0047955829941201955,Small,0.06,56
Gen3,3,24,0.012932118835081803,0.08421948955345991,0.051264534001529735,0.004947624998749234,Small,0.06,56
BE,-1,24,0.0006685894738960878,0.07516255291438755,0.056158028557139944,0.002408874992397614,Small,0.06,56
Gen1,1,24,0.009238284925417617,0.04757219055417751,0.03618708361664176,0.004629041999578476,Small,0.06,56
Gen2,2,24,0.010230494178414555,0.05984143401571391,0.043115359245364956,0.004915958008496091,Small,0.06,56
Gen3,3,24,0.011689863403270438,0.06739520605067795,0.0473369165195561,0.005233584000961855,Small,0.06,56
BE,-1,8,0.0009091854699281173,0.09873901341917432,0.07393713858448689,0.002190625004004687,Small,0.06,56
Gen1,1,4,0.014853154149633428,0.14112303614377225,0.08007520941989577,0.004665375003241934,Small,0.06,56
Gen2,2,6,0.016208863283942297,0.08913074170121053,0.05926438333998856,0.004890583993983455,Small,0.06,56
Gen3,3,16,0.016851146545988877,0.09184303928356771,0.062496575299386826,0.005189332994632423,Small,0.06,56
BE,-1,24,0.0006760568326446488,0.08904838077274484,0.059237010848093005,0.002487542005837895,Small,0.06,56
Gen1,1,24,0.00995244264638025,0.0716871158396093,0.042511060997129084,0.004644374988856725,Small,0.06,56
