episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain
480,0.5,1,0.0854954198451752,0.06965616517080624,0.1852643650742049
480,0.5,2,0.1052981905009907,0.09070919028210271,0.13854939148978748
480,0.5,3,0.08263522799465486,0.06791192495044962,0.17817223236992338
480,0.5,4,0.09151731983647637,0.07784626183217118,0.1493821937610576
480,0.5,5,0.08493687607989527,0.07155756168925757,0.15752067898108868
480,0.5,6,0.07749285603594512,0.0649792330665402,0.16148098817780657
480,0.5,7,0.0928948952713924,0.08082078640841726,0.1299760210472344
480,0.5,8,0.09020570521288333,0.07766292147617157,0.1390464572846151
480,0.5,9,0.08432385096886001,0.07046763305611657,0.16432145535977014
480,0.5,10,0.082245977374908,0.06950745040298686,0.15488328278785185
480,0.5,11,0.08954883260390348,0.07523278502471205,0.1598686120512015
480,1.0,0,0.08518185990092643,0.07585093416357494,0.10954123035355333
480,1.0,1,0.07522828234690462,0.06531235992914217,0.13181109694937043
480,1.0,2,0.08412639740058431,0.07690989735211833,0.08578163657838817
480,1.0,3,0.08398901245932743,0.07550075238448542,0.10106393474923325
480,1.0,4,0.07501075773043,0.06328923936296103,0.1562644975483809
480,1.0,5,0.0806216579269941,0.07210571112819955,0.10562852486246388
480,1.0,6,0.08396413329169848,0.07230745998421803,0.13882919825997828
480,1.0,7,0.07411700780741333,0.06444954972174664,0.13043508327787254
480,1.0,8,0.07515970706241769,0.06379217241573518,0.15124506322572737
480,1.0,9,0.07631537961913261,0.06467494715546601,0.15253062386324406
480,1.0,10,0.07316333311523535,0.06311969641975604,0.13727691546884768
480,1.0,11,0.07676880044721003,0.06523239870839799,0.15027461249371785
480,1.5,0,0.07513969690725009,0.07046763710027622,0.06217831584735965
480,1.5,1,0.08342152504854046,0.07519970169965264,0.0985575766458812
480,1.5,2,0.09071045801967784,0.08510770627401662,0.06176522385595066
480,1.5,3,0.07797443494081606,0.06640508985918527,0.14837356744440824
480,1.5,4,0.07809839629176396,0.07312508326085067,0.0636800916158859
480,1.5,5,0.08451196738031486,0.08098141406318371,0.0417757795324205
480,1.5,6,0.08915977259333115,0.07994479818652228,0.10335349831856923
480,1.5,7,0.0700343306364421,0.06204121548214528,0.11413138501730226
480,1.5,8,0.07327502545813336,0.06794205858218857,0.07278014361102943
480,1.5,9,0.07130792780274953,0.06292971071995652,0.11749348692292177
480,1.5,10,0.08285396338338163,0.07037900763345556,0.1505655884221494
480,1.5,11,0.0726482887495454,0.06506663870913953,0.10436102723002282
480,2.0,0,0.08555365686407243,0.08263879365518044,0.034070585825724815
480,2.0,1,0.07180576823212773,0.06250314356384042,0.129552609732056
480,2.0,2,0.06509505635144838,0.06419328822550978,0.013853096939803777
480,2.0,3,0.06562561258743377,0.05751302589830726,0.12361921465217589
480,2.0,4,0.07006759057675069,0.06405359637672842,0.0858313258743307
480,2.0,5,0.057318928120039817,0.0525941185456409,0.08243018021034884
480,2.0,6,0.06366203118563953,0.06020674687840689,0.05427543298386086
480,2.0,7,0.08057820123777253,0.07612827958158236,0.05522488201317882
480,2.0,8,0.060921204081038356,0.05337484460240744,0.12387081956871088
480,2.0,9,0.07151504240755029,0.06432520042846326,0.1005360793623461
480,2.0,10,0.07295726418674396,0.06452575984554101,0.11556771536308398
